City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Deputatskiy,RU,2021-07-11 23:17:24,69.3,139.9,37.89,82,100,7.23
146,Mikuni,JP,2021-07-11 23:17:25,36.2171,136.1519,73.31,87,100,4.74
147,Topeka,US,2021-07-11 23:16:59,39.0483,-95.678,80.24,66,1,3.0
148,Barrow,US,2021-07-11 23:17:25,71.2906,-156.7887,35.62,70,90,11.5
149,Norman Wells,CA,2021-07-11 23:17:25,65.282,-126.8329,75.24,33,40,9.22
150,Fairbanks,US,2021-07-11 23:13:51,64.8378,-147.7164,71.1,39,1,1.01
151,Wajima,JP,2021-07-11 23:17:26,37.4,136.9,75.88,100,75,9.22
152,Preobrazheniye,RU,2021-07-11 23:17:26,42.9019,133.9064,70.7,83,33,2.35
153,Narsaq,GL,2021-07-11 23:17:27,60.9167,-46.05,46.62,99,100,5.91
154,Port Hawkesbury,CA,2021-07-11 23:16:07,45.6169,-61.3485,69.01,93,1,4.0
155,Khatanga,RU,2021-07-11 23:17:27,71.9667,102.5,51.13,43,91,7.43
156,Brae,GB,2021-07-11 23:17:27,60.3964,-1.353,57.11,91,94,2.44
157,Bundaberg,AU,2021-07-11 23:17:28,-24.85,152.35,62.89,67,66,17.27
158,Kuching,MY,2021-07-11 23:15:41,1.55,110.3333,75.42,94,20,2.3
159,Nanortalik,GL,2021-07-11 23:17:28,60.1432,-45.2371,41.47,98,100,1.7
160,Pacific Grove,US,2021-07-11 23:17:28,36.6177,-121.9166,94.6,86,38,5.01
161,Urumqi,CN,2021-07-11 23:17:29,43.801,87.6005,63.55,88,20,4.47
162,Zhuhai,CN,2021-07-11 23:17:29,22.2769,113.5678,87.71,83,40,10.36
163,Codrington,AU,2021-07-11 23:17:29,-38.2667,141.9667,49.17,61,64,19.77
164,Saskylakh,RU,2021-07-11 23:17:30,71.9167,114.0833,48.96,43,42,15.48
165,Villa Carlos Paz,AR,2021-07-11 23:17:30,-31.4241,-64.4978,57.4,50,100,1.01
166,Yekaterinovka,RU,2021-07-11 23:17:30,52.0508,44.3451,62.44,73,5,7.07
167,Guerrero Negro,MX,2021-07-11 23:17:31,27.9769,-114.0611,76.71,57,12,20.22
168,Key West,US,2021-07-11 23:13:08,24.5557,-81.7826,86.0,64,75,14.97
169,Viedma,AR,2021-07-11 23:16:14,-40.8135,-62.9967,48.78,48,0,8.39
170,East London,ZA,2021-07-11 23:17:31,-33.0153,27.9116,65.95,28,0,9.22
171,Mar Del Plata,AR,2021-07-11 23:15:00,-38.0023,-57.5575,54.12,60,0,1.01
172,Antanifotsy,MG,2021-07-11 23:17:32,-19.65,47.3167,44.8,98,40,0.94
173,Consett,GB,2021-07-11 23:17:32,54.854,-1.8316,59.72,87,100,4.38
174,Poum,NC,2021-07-11 23:17:33,-20.2333,164.0167,71.53,64,94,16.37
175,Hanna,CA,2021-07-11 23:17:33,51.6334,-111.9018,74.84,57,80,4.0
176,Portland,US,2021-07-11 23:17:33,45.5234,-122.6762,91.36,42,1,5.01
177,Belaya Gora,RU,2021-07-11 23:17:34,68.5333,146.4167,42.75,91,100,19.98
178,Grand-Lahou,CI,2021-07-11 23:17:34,5.1367,-5.0242,76.03,84,22,7.14
179,Bambous Virieux,MU,2021-07-11 23:17:34,-20.3428,57.7575,70.05,78,75,23.02
180,Bethel,US,2021-07-11 23:14:11,41.3712,-73.414,76.5,86,90,5.75
181,Mafinga,TZ,2021-07-11 23:17:35,-7.25,35.0667,63.52,53,21,6.08
182,Port Blair,IN,2021-07-11 23:17:35,11.6667,92.75,81.19,83,99,14.67
183,Asau,RO,2021-07-11 23:17:35,46.4333,26.4,65.39,96,92,4.16
184,Mutoko,ZW,2021-07-11 23:17:36,-17.397,32.2268,50.56,82,31,4.09
185,Chicama,PE,2021-07-11 23:17:36,-7.8447,-79.1469,64.94,75,25,6.78
186,Cockburn Town,TC,2021-07-11 23:17:36,21.4612,-71.1419,82.36,74,40,11.5
187,Chenghai,CN,2021-07-11 23:17:37,23.4632,116.768,85.91,84,20,4.47
188,Gazanjyk,TM,2021-07-11 23:17:37,39.2446,55.5154,79.9,34,25,0.43
189,Fortuna,US,2021-07-11 23:17:38,40.5982,-124.1573,65.86,84,20,12.66
190,Cap Malheureux,MU,2021-07-11 23:17:38,-19.9842,57.6142,70.29,62,28,21.85
191,Lagoa,PT,2021-07-11 23:17:38,39.05,-27.9833,66.22,71,100,15.7
192,Camacha,PT,2021-07-11 23:17:39,33.0833,-16.3333,75.96,78,40,14.97
193,Charagua,BO,2021-07-11 23:17:39,-19.8,-63.2167,76.57,49,21,12.86
194,Pervomayskiy,RU,2021-07-11 23:17:39,53.2485,40.2871,66.13,77,0,7.38
195,Mahenge,TZ,2021-07-11 23:17:40,-8.6833,36.7167,57.97,74,61,2.08
196,Bengkulu,ID,2021-07-11 23:17:40,-3.8004,102.2655,74.95,88,97,4.79
197,Chuy,UY,2021-07-11 23:17:40,-33.6971,-53.4616,47.59,79,1,5.39
198,Longyearbyen,SJ,2021-07-11 23:17:41,78.2186,15.6401,39.04,87,75,13.8
199,Kargopol,RU,2021-07-11 23:17:41,61.5071,38.9456,63.18,69,6,5.23
200,Fiumicino,IT,2021-07-11 23:17:41,41.7675,12.2291,76.48,86,0,6.91
201,Kavaratti,IN,2021-07-11 23:17:42,10.5669,72.642,81.93,79,100,24.67
202,San Quintin,MX,2021-07-11 23:17:42,30.4833,-115.95,74.52,62,19,13.2
203,Tommot,RU,2021-07-11 23:17:42,58.9564,126.2925,61.63,67,59,2.46
204,Palauig,PH,2021-07-11 23:17:43,15.435,119.9045,82.89,71,88,2.24
205,Ostrovnoy,RU,2021-07-11 23:17:43,68.0531,39.5131,43.36,73,49,8.3
206,Lovozero,RU,2021-07-11 23:17:44,68.005,35.0117,57.06,69,82,7.4
207,Clyde River,CA,2021-07-11 23:17:44,70.4692,-68.5914,52.03,66,20,8.05
208,Xining,CN,2021-07-11 23:17:44,36.6167,101.7667,54.12,70,2,2.57
209,Upernavik,GL,2021-07-11 23:17:44,72.7868,-56.1549,38.64,74,8,13.06
210,Pevek,RU,2021-07-11 23:17:45,69.7008,170.3133,55.85,75,19,16.15
211,Manono,CD,2021-07-11 23:17:45,-7.3,27.4167,68.65,27,2,4.52
212,Coihaique,CL,2021-07-11 23:17:45,-45.5752,-72.0662,40.95,65,75,5.75
213,Provideniya,RU,2021-07-11 23:17:46,64.3833,-173.3,51.91,66,0,8.95
214,Butzow,DE,2021-07-11 23:17:46,53.85,11.9833,67.19,92,95,7.43
215,Egvekinot,RU,2021-07-11 23:17:46,66.3167,-179.1667,53.19,72,71,6.53
216,Seoul,KR,2021-07-11 23:16:12,37.5683,126.9778,80.17,83,75,5.75
217,Gunjur,GM,2021-07-11 23:17:47,13.2019,-16.7339,73.47,94,20,0.0
218,Banda Aceh,ID,2021-07-11 23:17:47,5.5577,95.3222,79.63,69,98,11.05
219,Sao Felix Do Xingu,BR,2021-07-11 23:17:47,-6.6447,-51.995,82.74,41,99,1.9
220,Quatre Cocos,MU,2021-07-11 23:17:48,-20.2078,57.7625,69.91,64,66,16.98
221,Broken Hill,AU,2021-07-11 23:17:48,-31.95,141.4333,51.98,43,49,13.04
222,Lydenburg,ZA,2021-07-11 23:17:48,-25.0978,30.4597,46.4,63,0,0.87
223,Boa Vista,BR,2021-07-11 23:17:16,2.8197,-60.6733,80.58,83,75,2.3
224,Shaunavon,CA,2021-07-11 23:17:49,49.6501,-108.4181,74.98,34,9,25.52
225,Kanye,BW,2021-07-11 23:17:49,-24.9667,25.3327,49.89,43,0,5.84
226,Bathsheba,BB,2021-07-11 23:17:50,13.2167,-59.5167,81.21,83,75,24.16
227,Shahrud,IR,2021-07-11 23:17:50,36.4182,54.9763,71.89,47,0,8.3
228,Alasehir,TR,2021-07-11 23:17:50,38.3508,28.5172,72.88,56,0,2.75
229,Puerto Ayora,EC,2021-07-11 23:17:51,-0.7393,-90.3518,72.55,85,28,5.01
230,Kaoma,ZM,2021-07-11 23:17:51,-14.7833,24.8,51.37,53,0,5.66
231,Ulladulla,AU,2021-07-11 23:17:51,-35.35,150.4667,52.88,74,100,4.32
232,Soure,BR,2021-07-11 23:15:37,-0.7167,-48.5233,78.44,85,85,12.73
233,Kununurra,AU,2021-07-11 23:15:50,-15.7667,128.7333,71.02,28,36,4.88
234,Belmonte,BR,2021-07-11 23:17:52,-15.8631,-38.8828,73.9,82,16,7.85
235,Tigil,RU,2021-07-11 23:17:52,57.8,158.6667,67.3,68,63,4.85
236,Buraydah,SA,2021-07-11 23:17:53,26.326,43.975,95.45,10,75,8.84
237,Baykit,RU,2021-07-11 23:17:53,61.67,96.37,60.04,87,91,2.59
238,Alnashi,RU,2021-07-11 23:17:53,56.1874,52.4792,51.62,73,1,8.1
239,Roros,NO,2021-07-11 23:17:54,62.5747,11.3842,49.84,100,90,2.3
240,Vanavara,RU,2021-07-11 23:17:54,60.34,102.2797,61.09,67,57,3.38
241,Dali,CN,2021-07-11 23:17:55,25.7,100.1833,63.09,93,70,4.61
242,Port Elizabeth,ZA,2021-07-11 23:17:55,-33.918,25.5701,43.09,81,0,3.44
243,Kungurtug,RU,2021-07-11 23:17:55,50.5994,97.5228,55.49,91,97,1.03
244,Sorland,NO,2021-07-11 23:17:56,67.667,12.6934,56.21,96,100,21.97
245,Severo-Kurilsk,RU,2021-07-11 23:17:56,50.6789,156.125,53.83,91,100,7.25
246,Inyonga,TZ,2021-07-11 23:17:56,-6.7167,32.0667,58.77,45,3,4.99
247,Inhambane,MZ,2021-07-11 23:17:57,-23.865,35.3833,65.05,74,0,5.03
248,Oga,IT,2021-07-11 23:17:57,46.4631,10.347,56.7,93,2,2.44
249,Beyneu,KZ,2021-07-11 23:17:57,45.3167,55.2,79.81,51,37,6.26
250,Tabou,CI,2021-07-11 23:17:58,4.423,-7.3528,76.23,80,32,8.16
251,Zhigalovo,RU,2021-07-11 23:17:58,54.8097,105.1578,57.31,88,2,0.72
252,Mareeba,AU,2021-07-11 23:17:58,-17.0,145.4333,68.72,76,94,3.51
253,Sistranda,NO,2021-07-11 23:17:59,63.7256,8.834,59.9,85,63,16.04
254,Half Moon Bay,US,2021-07-11 23:15:15,37.4636,-122.4286,96.12,66,45,10.56
255,Baiyin,CN,2021-07-11 23:17:59,36.5583,104.2081,61.68,59,28,7.38
256,Labrea,BR,2021-07-11 23:17:59,-7.2586,-64.7981,80.31,48,28,2.73
257,Marawi,PH,2021-07-11 23:18:00,7.9986,124.2928,69.66,90,40,1.9
258,Xiaoshan,CN,2021-07-11 23:18:00,30.1675,120.2588,89.46,70,0,6.71
259,Hundested,DK,2021-07-11 23:18:00,55.9667,11.8667,64.24,84,100,7.0
260,Lingao,CN,2021-07-11 23:18:01,19.9103,109.6859,80.38,84,99,2.28
261,Dalianwan,CN,2021-07-11 23:18:01,39.0286,121.695,75.24,88,0,11.18
262,Constantine,DZ,2021-07-11 23:18:02,36.365,6.6147,80.01,27,0,3.44
263,Norsup,VU,2021-07-11 23:18:02,-16.0667,167.3833,81.86,73,72,7.74
264,Xinzhou,CN,2021-07-11 23:18:02,38.4092,112.7333,68.04,94,100,0.58
265,Pervomayskoye,RU,2021-07-11 23:18:03,43.919,46.7102,67.5,66,0,1.86
266,Faya,SA,2021-07-11 23:18:03,18.3851,42.4509,69.91,47,90,3.06
267,Havoysund,NO,2021-07-11 23:18:03,70.9963,24.6622,59.88,80,4,11.81
268,Nagato,JP,2021-07-11 23:18:04,34.3833,131.2,82.31,87,98,9.33
269,Souillac,MU,2021-07-11 23:18:04,-20.5167,57.5167,70.18,78,75,23.02
270,Mahebourg,MU,2021-07-11 23:18:04,-20.4081,57.7,70.09,78,75,23.02
271,Pokrovsk,UA,2021-07-11 23:18:05,48.282,37.1758,70.56,72,15,8.32
272,Mount Gambier,AU,2021-07-11 23:18:05,-37.8333,140.7667,47.86,86,56,10.69
273,Atlantic City,US,2021-07-11 23:15:15,39.3643,-74.4229,83.14,88,90,9.22
274,Castro,BR,2021-07-11 23:18:05,-24.7911,-50.0119,53.22,77,13,3.11
275,Carnarvon,AU,2021-07-11 23:18:06,-24.8667,113.6333,66.27,88,75,12.66
276,Buala,SB,2021-07-11 23:18:06,-8.145,159.5921,84.0,70,86,8.25
277,Los Llanos De Aridane,ES,2021-07-11 23:18:06,28.6585,-17.9182,67.75,88,90,13.8
278,Wildomar,US,2021-07-11 23:18:07,33.5989,-117.28,106.3,24,1,1.99
279,Port Hardy,CA,2021-07-11 23:18:07,50.6996,-127.4199,64.58,68,20,14.97
280,Laela,TZ,2021-07-11 23:18:07,-8.5667,32.05,50.92,73,0,4.85
281,Kutum,SD,2021-07-11 23:18:08,14.2,24.6667,77.94,51,72,3.56
282,Genhe,CN,2021-07-11 23:18:08,50.7833,121.5167,66.18,60,42,2.33
283,Sulangan,PH,2021-07-11 23:18:08,11.1373,123.7228,83.44,75,74,6.93
284,Hithadhoo,MV,2021-07-11 23:18:09,-0.6,73.0833,81.12,71,43,2.15
285,Merauke,ID,2021-07-11 23:18:09,-8.4667,140.3333,79.05,85,79,13.71
286,Jinchang,CN,2021-07-11 23:18:09,38.4953,102.1739,73.58,35,2,6.82
287,Moindou,NC,2021-07-11 23:18:10,-21.6924,165.677,71.55,58,8,6.02
288,Rio De Janeiro,BR,2021-07-11 23:15:16,-22.9028,-43.2075,71.56,71,0,11.5
289,Mersing,MY,2021-07-11 23:18:10,2.4312,103.8405,75.11,94,92,5.75
290,Yamada,JP,2021-07-11 23:18:11,39.4667,141.95,70.63,95,99,2.37
291,Axim,GH,2021-07-11 23:18:11,4.8699,-2.2405,75.7,81,36,7.47
292,Masaka,UG,2021-07-11 23:18:11,-0.3338,31.7341,64.2,63,47,4.47
293,Pasighat,IN,2021-07-11 23:18:12,28.0667,95.3333,77.0,80,55,1.61
294,Magdalena,PH,2021-07-11 23:18:12,14.1999,121.429,85.19,83,58,4.25
